pos_idx,grid_ra,grid_dec,obs_date,src_index,src_ra_deg,src_dec_deg,plate_mag,plate_names
271,302.4,3.15789,1949-06-06,1725,302.2154,3.2312760000000007,15.59,bi04846
271,302.4,3.15789,1949-06-06,1927,302.427635,2.95005,15.69,bi04846
271,302.4,3.15789,1949-06-06,3071,302.214736,3.39098,14.03,bi04846
271,302.4,3.15789,1949-07-21,624,302.516468,3.174678,16.9,ai41952;ai41953;ai41954;ai41951;ai41955;fa11134;fa11135;fa11136;fa11137;am27630;mf38564;bi04939;am27631;bi04938
271,302.4,3.15789,1949-07-21,991,302.293789,3.051876,16.03,ai41952;ai41953;ai41954;ai41951;ai41955;fa11134;fa11135;fa11136;fa11137;am27630;mf38564;bi04939;am27631;bi04938
271,302.4,3.15789,1949-09-15,1361,302.225022,3.128100999999999,16.3,ax04599;b75075
271,302.4,3.15789,1949-09-15,1505,302.347944,3.336294,16.5,ax04599;b75075
271,302.4,3.15789,1949-09-15,2286,302.517376,2.963613000000001,16.65,ax04599;b75075
271,302.4,3.15789,1950-04-27,602,302.377255,3.045132000000001,15.84,bi05142;rb16623
271,302.4,3.15789,1950-07-21,1607,302.494285,3.325067999999999,14.01,rh15398;ac41672;ka01885;ka01886;bi05229
271,302.4,3.15789,1950-07-21,2436,302.229615,3.317794,13.75,rh15398;ac41672;ka01885;ka01886;bi05229
271,302.4,3.15789,1950-08-07,282,302.479161,3.169807,12.49,rh15420;ka01900;ka01901;ke00224;ke00225;ke00226;ke00227;ke00228;ke00229;ke00230
271,302.4,3.15789,1950-08-07,581,302.390429,3.271327,13.66,rh15420;ka01900;ka01901;ke00224;ke00225;ke00226;ke00227;ke00228;ke00229;ke00230
319,273.6,15.78947,1949-06-03,1767,273.720786,16.003888,14.18,ac41154;kc00108;ai41862;ka00910;kc00109;ai41863;ka00911;ai41864;ka00912;kb00590;kb00591;kb00592;kb00593;kb00594;bi04842;bi04841
319,273.6,15.78947,1949-06-03,2130,273.365049,15.995107,14.17,ac41154;kc00108;ai41862;ka00910;kc00109;ai41863;ka00911;ai41864;ka00912;kb00590;kb00591;kb00592;kb00593;kb00594;bi04842;bi04841
319,273.6,15.78947,1950-05-27,704,273.728453,15.877117000000002,15.02,ac41590;rh15327;kf00097;ai42680;ai42681;kf00098;ai42682;kf00099;kf00100;ai42683;kf00101;kf00102;kf00103
319,273.6,15.78947,1950-05-27,1327,273.639926,15.993909,14.84,ac41590;rh15327;kf00097;ai42680;ai42681;kf00098;ai42682;kf00099;kf00100;ai42683;kf00101;kf00102;kf00103
319,273.6,15.78947,1952-07-20,712,273.471869,15.700791,13.06,rh15847;ac42297;fa12836;fa12837;fa12838;ka02753
319,273.6,15.78947,1952-07-20,1116,273.738151,15.925416999999996,13.59,rh15847;ac42297;fa12836;fa12837;fa12838;ka02753
