pos_idx,ra,dec,src_index,num_matches,obs_jd,obs_date,mag,exp_duration_s,n_plates_total,n_study_plates,kp_max_02d,kp_bin,kp_label,nuclear_window
0,0.0,-60.0,330,1,2433097.571315,1949-06-30,15.794242858886719,,2607,109,3.667,0,Quiet (<5),False
1,14.4,-60.0,345,1,2433151.472023,1949-08-22,16.665241241455078,,2629,115,3.333,0,Quiet (<5),False
6,86.4,-60.0,417,1,2433421.241052,1950-05-19,13.406933784484863,,2387,90,3.0,0,Quiet (<5),False
7,100.8,-60.0,144,1,2433421.241489,1950-05-19,15.475241661071777,,2126,107,3.0,0,Quiet (<5),False
8,115.2,-60.0,662,1,2433054.230915,1949-05-17,14.435112953186035,,2189,108,4.0,0,Quiet (<5),False
8,115.2,-60.0,903,1,2433040.286064,1949-05-03,14.486952781677246,,2237,104,7.0,3,G3 (7),False
9,129.6,-60.0,336,1,2433052.242961,1949-05-15,16.870546340942383,,2362,153,8.0,4,G4-G5 (>=8),False
9,129.6,-60.0,411,1,2432969.341071,1949-02-21,14.664052963256836,,2387,154,5.0,1,G1 (5),False
9,129.6,-60.0,444,1,2433052.242952,1949-05-15,16.741798400878906,,2387,154,8.0,4,G4-G5 (>=8),False
9,129.6,-60.0,468,1,2434898.222282,1954-06-04,14.495797157287598,,2387,154,3.333,0,Quiet (<5),False
9,129.6,-60.0,526,1,2433000.370506,1949-03-24,17.2003173828125,,2362,153,7.667,3,G3 (7),False
9,129.6,-60.0,529,1,2432954.457251,1949-02-06,13.138171195983887,,2388,155,6.333,2,G2 (6),False
9,129.6,-60.0,613,1,2434898.219879,1954-06-04,14.141494750976562,,2362,153,3.333,0,Quiet (<5),False
9,129.6,-60.0,617,1,2432951.316832,1949-02-03,16.101316452026367,,2387,154,4.667,0,Quiet (<5),False
9,129.6,-60.0,700,1,2432951.316833,1949-02-03,16.02909278869629,,2387,154,4.667,0,Quiet (<5),False
9,129.6,-60.0,764,1,2434898.203253,1954-06-04,11.921709060668945,,2387,154,3.333,0,Quiet (<5),False
9,129.6,-60.0,796,1,2433391.296117,1950-04-19,13.826116561889648,,2362,153,4.667,0,Quiet (<5),False
9,129.6,-60.0,847,1,2432951.316806,1949-02-03,16.6789608001709,,2362,153,4.667,0,Quiet (<5),False
9,129.6,-60.0,870,1,2433719.243263,1951-03-13,11.672945022583008,,2388,155,6.667,2,G2 (6),False
9,129.6,-60.0,882,1,2434898.222289,1954-06-04,14.430275917053223,,2387,154,3.333,0,Quiet (<5),False
9,129.6,-60.0,1018,1,2432951.316808,1949-02-03,16.611194610595703,,2362,153,4.667,0,Quiet (<5),False
9,129.6,-60.0,1027,1,2432998.402299,1949-03-22,14.372759819030762,,2363,154,7.667,3,G3 (7),False
9,129.6,-60.0,1087,1,2434029.342933,1952-01-17,16.912996292114258,,2362,153,6.0,2,G2 (6),False
9,129.6,-60.0,1100,1,2434098.31615,1952-03-26,13.048794746398926,,2363,154,5.667,1,G1 (5),False
9,129.6,-60.0,1134,1,2433661.380544,1951-01-14,16.72919464111328,,2387,154,4.333,0,Quiet (<5),False
9,129.6,-60.0,1301,1,2433011.387172,1949-04-04,12.957267761230469,,2363,154,3.333,0,Quiet (<5),False
9,129.6,-60.0,1302,1,2432998.402301,1949-03-22,14.411848068237305,,2363,154,7.667,3,G3 (7),False
9,129.6,-60.0,1533,1,2432951.316839,1949-02-03,16.66977882385254,,2387,154,4.667,0,Quiet (<5),False
9,129.6,-60.0,1592,1,2434481.284846,1953-04-13,13.006640434265137,,2387,154,4.667,0,Quiet (<5),False
9,129.6,-60.0,1606,1,2433661.380515,1951-01-14,16.757991790771484,,2362,153,4.333,0,Quiet (<5),False
9,129.6,-60.0,1662,1,2433111.223816,1949-07-13,13.939679145812988,,2387,154,5.0,1,G1 (5),False
9,129.6,-60.0,1800,1,2434898.222308,1954-06-04,13.569066047668457,,2362,153,3.333,0,Quiet (<5),False
9,129.6,-60.0,1903,1,2433661.380509,1951-01-14,16.108642578125,,2362,153,4.333,0,Quiet (<5),False
9,129.6,-60.0,1944,1,2433736.249137,1951-03-30,13.192392349243164,,2388,155,5.333,1,G1 (5),False
9,129.6,-60.0,2079,1,2432998.402277,1949-03-22,14.425135612487793,,2363,154,7.667,3,G3 (7),False
9,129.6,-60.0,2304,1,2434898.222265,1954-06-04,14.52304744720459,,2371,153,3.333,0,Quiet (<5),False
